"""","平成20年度(2008)","平成21年度(2009)","平成22年度(2010)","平成23年度(2011)","平成24年度(2012)"
"家計（個人企業を含む）_    (3) 保険契約者に帰属する財産所得(百万円)","61431.0","62534.0","62988.0","63484.0","66003.0"
"家計（個人企業を含む）_    (4) 賃   貸   料(百万円)","19686.0","20464.0","21768.0","23099.0","24224.0"
"家計（個人企業を含む）_  10．現物社会移転以外の社会給付(百万円)","647489.0","673211.0","690502.0","691644.0","706361.0"
"家計（個人企業を含む）_    (1) 現金による社会保障給付(百万円)","463678.0","477771.0","494031.0","496482.0","497507.0"
"家計（個人企業を含む）_    (2) 年金基金による社会給付(百万円)","39121.0","40675.0","39352.0","40112.0","44673.0"
"家計（個人企業を含む）_    (3) 無基金雇用者社会給付(百万円)","52711.0","61715.0","61597.0","54138.0","68542.0"
"家計（個人企業を含む）_    (4) 社会扶助給付(百万円)","91979.0","93049.0","95521.0","100912.0","95639.0"
"家計（個人企業を含む）_　11. その他の経常移転(百万円)","49694.0","50525.0","49777.0","53093.0","51691.0"
"家計（個人企業を含む）_　　　  うち非生命保険金(百万円)","32128.0","33450.0","31507.0","34835.0","31348.0"
"家計（個人企業を含む）_  12. 年金基金年金準備金の変動(百万円)","-9626.0","-12140.0","-10711.0","-12871.0","-16147.0"
"家計（個人企業を含む）_       受          取(百万円)","2626146.0","2627794.0","2661815.0","2661102.0","2687821.0"
"家計（個人企業を含む）_(参考)受取利子（ＦＩＳＩＭ調整前）(百万円)","32982.0","24052.0","18831.0","15706.0","14628.0"
"対家計民間非営利団体_  １．最 終 消 費 支 出(百万円)","52823.0","52981.0","55931.0","62462.0","67233.0"
"対家計民間非営利団体_  ２．財  産  所  得(百万円)","931.0","611.0","495.0","448.0","300.0"
"対家計民間非営利団体_    (1) 利        子(百万円)","811.0","501.0","372.0","299.0","119.0"
"対家計民間非営利団体_    (2) 賃   貸   料(百万円)","120.0","110.0","123.0","149.0","181.0"
"対家計民間非営利団体_  ３．現物社会移転以外の社会給付(百万円)","5418.0","7211.0","7351.0","8257.0","5273.0"
"対家計民間非営利団体_    (1) 無基金雇用者社会給付(百万円)","1790.0","2161.0","2270.0","2146.0","2797.0"
"対家計民間非営利団体_    (2) 社会扶助給付(百万円)","3628.0","5050.0","5081.0","6111.0","2476.0"
"対家計民間非営利団体_  ４．その他の経常移転(百万円)","435.0","452.0","423.0","454.0","399.0"
"対家計民間非営利団体_　　　　うち非生命保険純保険料(百万円)","435.0","452.0","423.0","454.0","399.0"
"対家計民間非営利団体_  ５．貯        蓄(百万円)","-5916.0","-10224.0","-2885.0","-9532.0","-4122.0"
"対家計民間非営利団体_       支          払(百万円)","53691.0","51031.0","61315.0","62089.0","69083.0"
"対家計民間非営利団体_(参考)支払利子（ＦＩＳＩＭ調整前）(百万円)","1731.0","1569.0","1525.0","1407.0","1211.0"
"","","","","",""
"対家計民間非営利団体_  ６．財  産  所  得(百万円)","4042.0","3831.0","3825.0","2777.0","2900.0"
"対家計民間非営利団体_    (1) 利        子(百万円)","3726.0","3515.0","3493.0","2036.0","2055.0"
"対家計民間非営利団体_    (2) 法人企業の分配所得(百万円)","21.0","19.0","21.0","384.0","441.0"
"対家計民間非営利団体_    (3) 保険契約者に帰属する財産所得(百万円)","42.0","23.0","11.0","9.0","16.0"
"対家計民間非営利団体_    (4) 賃   貸   料(百万円)","253.0","274.0","300.0","348.0","388.0"
"対家計民間非営利団体_  ７．帰属社会負担(百万円)","1790.0","2161.0","2270.0","2146.0","2797.0"
"対家計民間非営利団体_　８. その他の経常移転(百万円)","47859.0","45039.0","55220.0","57166.0","63386.0"
"対家計民間非営利団体_　　  　うち非生命保険金(百万円)","345.0","384.0","398.0","450.0","320.0"
"対家計民間非営利団体_       受          取(百万円)","53691.0","51031.0","61315.0","62089.0","69083.0"
"対家計民間非営利団体_(参考)受取利子（ＦＩＳＩＭ調整前）(百万円)","3352.0","3100.0","3080.0","1607.0","1626.0"
